key,issuelink.id,type.id,type.name,type.inward,type.outward,inwardIssue.id,inwardIssue.key,inwardIssue.summary,inwardIssue.status.id,inwardIssue.status.name,inwardIssue.statusCategory.id,inwardIssue.statusCategory.key,inwardIssue.statusCategory.colorName,inwardIssue.statusCategory.name,inwardIssue.priority.id,inwardIssue.priority.name,inwardIssue.issuetype.id,inwardIssue.issuetype.description,inwardIssue.issuetype.name,inwardIssue.issuetype.subtask,outwardIssue.id,outwardIssue.key,outwardIssue.summary,outwardIssue.status.id,outwardIssue.status.name,outwardIssue.statusCategory.id,outwardIssue.statusCategory.key,outwardIssue.statusCategory.colorName,outwardIssue.statusCategory.name,outwardIssue.priority.id,outwardIssue.priority.name,outwardIssue.issuetype.id,outwardIssue.issuetype.description,outwardIssue.issuetype.name,outwardIssue.issuetype.subtask
OPENJPA-1770,12333468,10032,Blocker,is blocked by,blocks,,,,,,,,,,,,,,,,12445856,OPENJPA-1469,Turn on DataCache by default,6,Closed,3,done,green,Done,3,Major,4,An improvement or enhancement to an existing feature or task.,Improvement,False
AXIS2-4312,12325939,12310000,Duplicate,is duplicated by,duplicates,12431252,AXIS2-4441,Wrapped array schema generation cannot be configured on Java2WSDL tool,1,Open,2,new,blue-gray,To Do,3,Major,4,An improvement or enhancement to an existing feature or task.,Improvement,False,,,,,,,,,,,,,,,
MAPREDUCE-1415,12329105,10032,Blocker,is blocked by,blocks,12443972,MAPREDUCE-1322,TestStreamingAsDifferentUser fails on trunk,6,Closed,3,done,green,Done,3,Major,1,A problem which impairs or prevents the functions of the product.,Bug,False,,,,,,,,,,,,,,,
DERBY-3462,12319490,10032,Blocker,is blocked by,blocks,12390071,DERBY-3491,Change SystemPermission to be a two arguement permission with a name (object the permission is on) and an action.,6,Closed,3,done,green,Done,3,Major,4,An improvement or enhancement to an existing feature or task.,Improvement,False,,,,,,,,,,,,,,,
DERBY-3462,12319922,10030,Reference,is related to,relates to,12393760,DERBY-3614,Granted SystemPermissions are ignored when granted later with same target and different action,1,Open,2,new,blue-gray,To Do,4,Minor,1,A problem which impairs or prevents the functions of the product.,Bug,False,,,,,,,,,,,,,,,
HADOOP-7226,12338562,10020,Cloners,is cloned by,is a clone of,,,,,,,,,,,,,,,,12504223,HADOOP-7225,DataNode.setNewStorageID pulls entropy from /dev/random,5,Resolved,3,done,green,Done,4,Minor,1,A problem which impairs or prevents the functions of the product.,Bug,False
KARAF-109,12332889,10030,Reference,is related to,relates to,,,,,,,,,,,,,,,,12466900,KARAF-13,javax.annotation not exported,6,Closed,3,done,green,Done,3,Major,1,A problem which impairs or prevents the functions of the product.,Bug,False
MAPREDUCE-2709,12341005,10032,Blocker,is blocked by,blocks,,,,,,,,,,,,,,,,12511431,HADOOP-7425,ReflectionUtils.setConf would configure anything Configurable twice,1,Open,2,new,blue-gray,To Do,3,Major,1,A problem which impairs or prevents the functions of the product.,Bug,False
FLUME-427,12341803,10030,Reference,is related to,relates to,,,,,,,,,,,,,,,,12517352,FLUME-395,Incorrect zip-compression codec name inside flume documentation,5,Resolved,3,done,green,Done,2,Critical,1,A problem which impairs or prevents the functions of the product.,Bug,False
TAP5-1568,12322349,10032,Blocker,is blocked by,blocks,12408503,TAPESTRY-2720,Fix permissions for maven sync repo at people.apache.org,6,Closed,3,done,green,Done,3,Major,3,A task that needs to be done.,Task,False,,,,,,,,,,,,,,,
